Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,
REE,Rare Element Resources Ltd.,4.37,193918750,n/a,1992,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ree,,
VKL,Invesco Van Kampen Select Sector Municipal Trust,12.68,192621880,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vkl,,
CFD,Nuveen Diversified Commodity Fund,20.49,188897310,n/a,1998,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cfd,,
RIC,"Richmont Mines, Inc.",5.69,188395900,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ric,,
AXX,Alderon Iron Ore Corp.,2.2,186379600,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx,,
CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.68,184172960,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cik,,
GHM,Graham Corporation,18.3,182103300,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ghm,,
BRD,Apollo Gold Corporation,0.88,177336720,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/brd,,
SARA,Saratoga Resources Inc,6.46,176261100,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sara,,
PCG^A,Pacific Gas & Electric Co.,30.1999,174706421.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^a,,
UEC,Uranium Energy Corp.,2.29,173916340,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/uec,,
PLG,Platinum Group Metals Ltd.,0.97,172257450,n/a,1989,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/plg,,
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",14.85,170849250,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vmm,,
CTO,Consolidated-Tomoka Land Co.,28.74,168014040,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cto,,
AUMN,Golden Minerals Co.,4.68,167141520,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn,,
NHS,Neuberger Berman High Yield Strategies Fund,13.49,165319950,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nhs,,
HNW,Pioneer Diversified High Income Trust,19.22,158488120,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/hnw,,
XRA,Exeter Resource Corporation,1.78,155440280,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra,,
NHC^A,National HealthCare Corporation,14.25,154484250,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nhc^a,,
GSV,Gold Standard Ventures Corporation,2.48,150478960,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gsv,,
MDW,Midway Gold Corporation,1.31,149511610,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mdw,,
ETF,Aberdeen Emerging Markets Telecommunications and Infrastructur,18.05,148858350,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/etf,,
MSL,MidSouth Bancorp,14.01,146628660,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/msl,,
PBM,Pacific Booker Minerals Inc,12,146592000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/pbm,,
TA,TravelCenters of America LLC,5.05,145308700,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/ta,,
UVE,UNIVERSAL INSURANCE HOLDINGS INC,3.6,144615600,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/uve,,
BHB,"Bar Harbor Bankshares, Inc.",37.15,144513500,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb,,
SBI,Western Asset Intermediate Muni Fund Inc,10.19,143118550,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/sbi,,
AVL,"Avalon Rare Metals, Inc.",1.39,142639020,n/a,1980,n/a,n/a,http://www.nasdaq.com/symbol/avl,,
AE,"Adams Resources & Energy, Inc.",33.8,142568400,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,,
PLM,Polymet Mining Corp.,0.81,141537780,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/plm,,
CH,"Aberdeen Chile Fund, Inc.",15.2,141071200,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch,,
SYRG,Synergy Resources Corporation,2.75,140657000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/syrg,,
LPH,Longwei Petroleum Investment Holding Limited,1.35,136035450,n/a,1973,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/lph,,
WSR,Whitestone REIT,13.28,134898240,n/a,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wsr,,
FRS,"Frisch&#39;s Restaurants, Inc.",26.95,133079100,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frs,,
EIV,Eaton Vance Municipal Bond Fund II,13.31,132966900,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv,,
AAU,"Almaden Minerals, Ltd.",2.23,131842060,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau,,
IMUC,"ImmunoCellular Therapeutics, Ltd.",3.3,131369700,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imuc,,
GLV,Clough Global Allocation Fund,12.57,131167950,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/glv,,
ADGE,American DG Energy Inc.,2.76,128618760,n/a,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/adge,,
SGA,"Saga Communications, Inc.",35.1,128185200,n/a,1992,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sga,,
TIS,Orchids Paper Products Company,16.94,127625960,n/a,1988,Basic Industries,Paper,http://www.nasdaq.com/symbol/tis,,
HLM^,Hillman Group Capital Trust,30,126540000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^,,
RVM,Revett Minerals Inc.,3.67,125433260,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/rvm,,
GST,Gastar Exploration,1.87,122941280,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst,,
DLA,"Delta Apparel, Inc.",14.42,121849000,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/dla,,
FCO,"Aberdeen Global Income Fund, Inc.",13.474,121144734,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco,,
